city_key,pref_code,pref_name,city_code,city_name
88443,8,茨城県,8443,阿見町
88447,8,茨城県,8447,河内町
88521,8,茨城県,8521,八千代町
88542,8,茨城県,8542,五霞町
88546,8,茨城県,8546,境町
88564,8,茨城県,8564,利根町
99000,9,栃木県,9000,
99201,9,栃木県,9201,宇都宮市
99202,9,栃木県,9202,足利市
99203,9,栃木県,9203,栃木市
99204,9,栃木県,9204,佐野市
99205,9,栃木県,9205,鹿沼市
99206,9,栃木県,9206,日光市
99208,9,栃木県,9208,小山市
99209,9,栃木県,9209,真岡市
99210,9,栃木県,9210,大田原市
99211,9,栃木県,9211,矢板市
99213,9,栃木県,9213,那須塩原市
99214,9,栃木県,9214,さくら市
99215,9,栃木県,9215,那須烏山市
99216,9,栃木県,9216,下野市
99301,9,栃木県,9301,上三川町
99342,9,栃木県,9342,益子町
99343,9,栃木県,9343,茂木町
99344,9,栃木県,9344,市貝町
99345,9,栃木県,9345,芳賀町
99361,9,栃木県,9361,壬生町
99364,9,栃木県,9364,野木町
99384,9,栃木県,9384,塩谷町
99386,9,栃木県,9386,高根沢町
99407,9,栃木県,9407,那須町
99411,9,栃木県,9411,那珂川町
1010000,10,群馬県,10000,
1010201,10,群馬県,10201,前橋市
1010202,10,群馬県,10202,高崎市
1010203,10,群馬県,10203,桐生市
1010204,10,群馬県,10204,伊勢崎市
1010205,10,群馬県,10205,太田市
1010206,10,群馬県,10206,沼田市
1010207,10,群馬県,10207,館林市
1010208,10,群馬県,10208,渋川市
1010209,10,群馬県,10209,藤岡市
1010210,10,群馬県,10210,富岡市
1010211,10,群馬県,10211,安中市
1010212,10,群馬県,10212,みどり市
1010344,10,群馬県,10344,榛東村
1010345,10,群馬県,10345,吉岡町
1010366,10,群馬県,10366,上野村
1010367,10,群馬県,10367,神流町
1010382,10,群馬県,10382,下仁田町
1010383,10,群馬県,10383,南牧村
1010384,10,群馬県,10384,甘楽町
1010421,10,群馬県,10421,中之条町
1010424,10,群馬県,10424,長野原町
1010425,10,群馬県,10425,嬬恋村
1010426,10,群馬県,10426,草津町
1010428,10,群馬県,10428,高山村
1010429,10,群馬県,10429,東吾妻町
1010443,10,群馬県,10443,片品村
1010444,10,群馬県,10444,川場村
1010448,10,群馬県,10448,昭和村
