date_key,date,is_holiday,holiday_name,holiday_category
19780915,1978-09-15,True,敬老の日,国民の祝日
19780923,1978-09-23,True,秋分の日,国民の祝日
19781010,1978-10-10,True,体育の日,国民の祝日
19781103,1978-11-03,True,文化の日,国民の祝日
19781123,1978-11-23,True,勤労感謝の日,国民の祝日
19790101,1979-01-01,True,元日,国民の祝日
19790115,1979-01-15,True,成人の日,国民の祝日
19790211,1979-02-11,True,建国記念の日,国民の祝日
19790212,1979-02-12,True,休日,国民の祝日
19790321,1979-03-21,True,春分の日,国民の祝日
19790429,1979-04-29,True,天皇誕生日,国民の祝日
19790430,1979-04-30,True,休日,国民の祝日
19790503,1979-05-03,True,憲法記念日,国民の祝日
19790505,1979-05-05,True,こどもの日,国民の祝日
19790915,1979-09-15,True,敬老の日,国民の祝日
19790924,1979-09-24,True,秋分の日,国民の祝日
19791010,1979-10-10,True,体育の日,国民の祝日
19791103,1979-11-03,True,文化の日,国民の祝日
19791123,1979-11-23,True,勤労感謝の日,国民の祝日
19800101,1980-01-01,True,元日,国民の祝日
19800115,1980-01-15,True,成人の日,国民の祝日
19800211,1980-02-11,True,建国記念の日,国民の祝日
19800320,1980-03-20,True,春分の日,国民の祝日
19800429,1980-04-29,True,天皇誕生日,国民の祝日
19800503,1980-05-03,True,憲法記念日,国民の祝日
19800505,1980-05-05,True,こどもの日,国民の祝日
19800915,1980-09-15,True,敬老の日,国民の祝日
19800923,1980-09-23,True,秋分の日,国民の祝日
19801010,1980-10-10,True,体育の日,国民の祝日
19801103,1980-11-03,True,文化の日,国民の祝日
19801123,1980-11-23,True,勤労感謝の日,国民の祝日
19801124,1980-11-24,True,休日,国民の祝日
19810101,1981-01-01,True,元日,国民の祝日
19810115,1981-01-15,True,成人の日,国民の祝日
19810211,1981-02-11,True,建国記念の日,国民の祝日
19810321,1981-03-21,True,春分の日,国民の祝日
19810429,1981-04-29,True,天皇誕生日,国民の祝日
19810503,1981-05-03,True,憲法記念日,国民の祝日
19810504,1981-05-04,True,休日,国民の祝日
19810505,1981-05-05,True,こどもの日,国民の祝日
19810915,1981-09-15,True,敬老の日,国民の祝日
19810923,1981-09-23,True,秋分の日,国民の祝日
19811010,1981-10-10,True,体育の日,国民の祝日
19811103,1981-11-03,True,文化の日,国民の祝日
19811123,1981-11-23,True,勤労感謝の日,国民の祝日
19820101,1982-01-01,True,元日,国民の祝日
19820115,1982-01-15,True,成人の日,国民の祝日
